| Player         |   Kills |   Deaths |   Lost Vehicles |   Revives |   Heals |   Assists |   Resupply Player |   Transport Assist |
|----------------|---------|----------|-----------------|-----------|---------|-----------|-------------------|--------------------|
| DeusVult81     |       0 |        0 |               0 |         0 |       0 |         0 |                 0 |                  0 |
| DoubleD231     |       2 |       17 |               0 |         9 |       0 |         4 |                 0 |                  0 |
| hecules55      |       9 |       10 |               3 |         1 |       0 |         4 |                 0 |                  9 |
| Tixat          |       3 |       19 |               1 |         8 |       3 |         1 |                 0 |                  1 |
| Toelpeltaucher |       1 |       15 |               0 |         0 |       1 |         2 |                 0 |                  0 |
| UlsterMate     |       3 |       17 |               0 |         0 |       0 |         5 |                 0 |                  0 |
| Vaaragh        |       4 |       15 |               0 |        14 |      19 |         2 |                 0 |                  1 |
| Warptonatus5   |       4 |       11 |               1 |         9 |       9 |         4 |                 0 |                  0 |
| Total          |      26 |      104 |               5 |        41 |      32 |        22 |                 0 |                 11 |
